 anno | cedola | ordini | colli | copie | righe  | titoli | linee |  f1  |  f2  |  f3  |  ff  | fp  |  fc  
 2014 |   3101 |    551 |   553 |  1240 |   1356 |     19 |     4 |    3 |   27 |  523 |      |     |     
 2014 |   3201 |      1 |     1 |     1 |     30 |      1 |     1 |      |    1 |      |      |     |     
 2014 |   3401 |   1473 |  2735 |  3024 |  73573 |      4 |    45 |  226 |  659 |  572 |  353 |  52 |  873
 2014 |   3901 |    522 |   522 |   842 |    842 |     13 |     2 |      |    3 |  519 |      |     |     
 2014 |   4301 |   1205 |  1267 |  1205 |  22930 |      1 |    42 |    2 |  217 |  953 |      |  36 |   59
 2014 |   4302 |   1072 |  1445 |  3408 |  39022 |     30 |    39 |  456 |  566 |  264 |      |  77 |   82
 2014 |   4303 |    410 |   507 |  1006 |  13537 |     10 |    41 |  142 |  187 |  134 |      |  30 |   14
 2014 |   4304 |    693 |  1401 |  3542 |  41276 |     24 |    39 |  693 |  386 |  150 |      |  26 |  146
 2014 |   4305 |    421 |   525 |  1283 |  15901 |     17 |    37 |  155 |  207 |  116 |      |  27 |   20
 2014 |   4306 |    713 |   960 |  2018 |  23578 |     14 |    39 |  349 |  367 |  169 |      |  33 |   42
 2014 |   4307 |    754 |  1786 |  6272 |  52766 |     29 |    38 |  951 |  467 |  125 |      |  28 |  215
 2015 |      1 |   2206 |  7279 | 56578 | 273403 |     83 |    48 | 2708 | 1196 |  721 | 2572 |  82 |     
 2015 |      2 |   2326 |  4130 | 36246 | 147965 |     48 |    46 | 1767 |  911 |  832 |  555 |  65 |     
 2015 |      3 |   1951 | 11175 | 45951 | 192757 |     75 |    48 | 2243 | 1130 |  529 | 7213 |  60 |     
 2015 |      4 |   2070 |  4250 | 33695 | 130298 |     58 |    48 | 1805 |  948 |  785 |  652 |  60 |     
 2015 |      5 |   2429 |  5803 | 49179 | 263261 |     84 |    47 | 2636 | 1049 | 1021 |  985 | 112 |     
 2015 |      6 |   2273 |  6978 | 41275 | 193482 |     61 |    49 | 1926 | 1114 |  864 | 3000 |  74 |     
 2015 |      7 |   2152 |  6702 | 43598 | 202674 |     67 |    48 | 1886 | 1092 |  732 | 2908 |  84 |     
 2015 |      8 |   2139 |  8204 | 35513 | 233183 |     58 |    48 | 3574 | 1150 |  688 | 2415 | 101 |  276
 2015 |      9 |   2414 |  8014 | 58695 | 325246 |     93 |    48 | 3856 | 1166 |  939 | 1936 | 117 |     
 2015 |     10 |   2480 |  8435 | 61486 | 306868 |     89 |    48 | 4361 | 1133 | 1006 | 1824 | 111 |     
 2015 |     11 |   3385 |  9685 | 63761 | 383234 |     89 |    46 | 3092 | 1323 | 1724 | 2964 | 193 |  389
